,text,start,duration
0,"We will now go to the next module which is
the Perceptron Learning Algorithm.",13.09,4.35
0,"We now see a more principled approach of learning
these weights and threshold, but before that",17.44,6.03
0,"we will just again revisit our movie example
and make it slightly more complicated.",23.47,3.55
0,"Now, here what the situation is that we are
given a list of m movies and a class associated",27.02,7.07
0,"with each movie indicating whether we like
the movie or not, right.",34.09,3.33
0,"So, now we have given some data of the past
m movies that we have seen and whether we",37.42,4.16
0,"like this movie or not and now instead of
these three variables, we have these n different",41.58,4.04
0,variables based on which we are making decisions.,45.62,3.17
0,"And notice that some of these variables are
real, right.",48.79,2.7
0,"They are not Boolean anymore, right.",51.49,1.81
0,"The rating could be any real number between
0 to 1, ok and now based on this data what",53.3,6.419
0,do we want is the perceptron to do actually.,59.719,2.011
0,"So, I have given you some data.",61.73,1.78
0,"These factors I have also given you the label
1 and 0.",63.51,2.59
0,"So, if the perceptron if I tell you my perceptron
has now learnt properly, what would you expected",66.1,5.01
0,"it to do; perfect match, right.",71.11,1.49
0,"So, whenever I feed it, one of these movies
it should give me the same label as was there",72.6,5.04
0,"in my data, right and again there are some
movies for which I have a label 1 which are",77.64,4.0
0,"positive and some movies which I have a label
0.",81.64,2.41
0,"So, I am once again looking to separate the
positives from the negatives, right.",84.05,3.179
0,"So, it should adjust the weights in such a
way that I should be able to separate, right.",87.229,3.901
0,"So, that is the learning problem that we are
interested in, ok.",91.13,2.69
0,"So, now with that I will give you the algorithm,
ok.",93.82,2.43
0,This is the Perceptron Learning Algorithm.,96.25,2.099
0,"We have certain positive inputs which had
the label 1, we have certain negative inputs",98.349,6.431
0,"which had the label 0 and now I don't know
what the weights are and I have no prior knowledge",104.78,5.25
0,of what the weights are going to be.,110.03,1.12
0,I need to learn them from the data.,111.15,1.62
0,"So, what I am going to do is, I am just going
to initialize these weights randomly as I",112.77,3.689
0,"am also going to pick up some random values
for this.",116.459,3.231
0,"So, this should be small n.",119.69,3.599
0,"So, this should be small n and now, here is
the algorithm while not convergence do something.",123.289,6.14
0,"So, before I tell you what to do, can you
tell me what is meant by convergence?",129.429,4.591
0,When will you say that it has converged?,134.02,4.08
0,"When it is not making any more errors on the
training data, right, or its predictions are",138.1,5.469
0,not changing on the training data.,143.569,1.431
0,"So, that is the definition of convergence,
ok.",145.0,2.48
0,"Now, here is the algorithm.",147.48,2.089
0,"I pick up a random from point from my data
which could either be positive or negative,",149.569,4.06
0,right.,153.629,1.0
0,"So, it comes from the union of positive negative.",154.629,1.14
0,"Basically all the data that I have I pick
up a random point from there.",155.769,3.711
0,"If the point is positive, right and this is
the condition which happens what does this",159.48,7.67
0,tell me?,167.15,2.25
0,"If the point was positive, what did I actually
want greater than 0, but the condition is",169.4,5.07
0,less than 0.,174.47,1.0
0,"That means, I have made an error.",175.47,1.129
0,"So, I have made an error, then I will just
add x to w I see a lot of thoughtful nodding",176.599,8.59
0,and I hope you are understanding what is happening.,185.189,1.89
0,Let us see.,187.079,1.061
0,"So, what is w actually?",188.14,1.47
0,a dimensional.,189.61,1.0
0,N dimension.,190.61,1.0
0,"N dimension n plus 1, right because w naught
is also inside there.",191.61,4.359
0,"So, actually there should be w naught also
here, right and what is x again n dimensional,",195.969,8.561
0,right and that is why this addition is valid.,204.53,1.56
0,"So, let us understand that w and x both are
n dimensional, ok.",206.09,3.129
0,"Now, let us look at the other if condition.",209.219,1.871
0,"Can you guess what the other if condition
is if x belongs to n and.",211.09,5.36
0,Summation.,216.45,1.45
0,"Summation is greater than equal to 0, then?",217.9,2.989
0,"So, that means you have completely understood
how this algorithm works.",220.889,4.201
0,"Well, that is right.",225.09,1.729
0,"So, now consider two vectors w and x.",226.819,2.54
0,"So, remember what we are trying to prove is
or get an intuition.",229.359,2.311
0,"Not prove, actually get an intuition for why
this works.",231.67,2.61
0,ok,234.28,1.0
0,"So, we will consider two vectors w and x and
this is what my vectors look like very similar",235.28,3.569
0,"to the case that we are considering w0 to
wn and 1 to n.",238.849,3.821
0,"So, this again x naught is just 1, right.",242.67,3.409
0,"ok
Now, this condition that I have been talking",246.079,3.171
0,"about is nothing, but the dot product.",249.25,4.379
0,"How many of you have gone through the prerequisites
for today's lecture?",253.629,3.241
0,Ok good.,256.87,1.0
0,"So, it is just a dot product, ok.",257.87,4.119
0,"Now, we can just read write the perceptron
rule as this instead of the dot product.",261.989,4.611
0,"I mean instead of using that summation thing,
we can just say that it is a dot product.",266.6,4.11
0,"ok
Now, we are interested in finding the line",270.71,3.489
0,w transpose x equal to 0.,274.199,1.511
0,"So, that is our decision boundary, right?
which divides the input into two halves, ok.",275.71,4.87
0,"Now, every point on this line satisfies the
equation w transpose x equal to 0.",280.58,5.01
0,What does that mean actually?,285.59,2.49
0,"So, just a simple example is that if I have
the line x1 plus x2 equal to 0, then all the",288.08,8.12
0,"points which lie on the line satisfy this
equation, right.",296.2,2.16
0,"So, you could have 1 minus 1, 2 minus 2 and
so on, but 2, 2 is cannot be a point on this",298.36,5.94
0,line.,304.3,1.0
0,"At every point lying on this line satisfies
this equation.",305.3,1.88
0,"So, every point lying on this line actually
satisfies the equation w transpose x equal",307.18,4.7
0,to 0.,311.88,1.319
0,"So, can you tell me what is the angle between
w and any point on this line?",313.199,5.761
0,How many say how many of you say perpendicular?,318.96,4.32
0,Ok.,323.28,1.53
0,Why?,324.81,1.53
0,"Dot product is 0, right.",326.34,1.0
0,"So, if the dot product is 0, they are orthogonal
right.",327.34,2.68
0,"So, that means if I take this line, then my
vector w is orthogonal to this.",330.02,5.5
0,"It is orthogonal to this point or this point
to this point to every point on the line which",335.52,4.57
0,"is just the same as saying that the vector
is perpendicular to the line itself, right",340.09,3.96
0,as simple as that.,344.05,1.85
0,"So, the angle is 90 degrees because the dot
product gives you the cos alpha and that is",345.9,5.739
0,"0, right and since it is perpendicular as
I said to every point of the line it is just",351.639,4.451
0,"perpendicular to the line itself, right.",356.09,1.82
0,"So, this is what the geometric interpretation
looks like.",357.91,2.9
0,"This is our decision boundary w transpose
x and the vector w is actually orthogonal",360.81,7.039
0,"to this line and that is exactly the intuition
that we have built so far.",367.849,4.06
0,"ok
Now, let us consider some points which are",371.909,3.181
0,"supposed to lie in the positive half space
of this line, right.",375.09,3.229
0,"That means these are the points for which
the output is actually 1, ok.",378.319,5.331
0,"Now, can you tell me what is the angle between
any of these points and w or you guys are",383.65,7.65
0,"actually trying to tell me the angle we have
got some measuring stuff, no.",391.3,4.179
0,"So, I will give you three options i.e. equal
to 90, greater than 90 and less than 90.",395.479,5.851
0,Less than 90.,401.33,1.0
0,"Less than 90 it is obvious from the figure,
right.",402.33,1.35
0,"Now, if I take any point which lies in the
negative half space, what is the angle going",403.68,7.34
0,to be between them?,411.02,1.03
0,"It is greater than 90, right.",412.05,2.44
0,"Again obvious and it also follows from the
fact that cos alpha is w transpose x by something",414.49,8.209
0,"and we know that for the positive points w
transpose x is greater than equal to 0, right.",422.699,7.341
0,"That means, cos alpha would be greater than
equal to 0, that means the angle alpha would",430.04,4.15
