,text,start,duration
0,"We talked about. So, we started with the sorting
algorithms sorting problems. So, what is the",17.56,5.9
0,"problem of sorting? So, we have given n numbers
say input is a number a 1, a 2, a n. So, typically",23.46,21.16
0,"they are integers we can deal with real numbers
also in we have to deal with real number operation,",44.62,7.23
0,"but these are typically integer we have a
we have given array of n numbers then the",51.85,5.26
0,"output will be the permutation of numbers,
the permutation of this number A i 1, A i",57.11,18.38
0,"2, A i n such that if it is sorting such that
it is sort with.",75.49,19.941
0,"So, there are factorial in permutation. So,
among these we have to choose all of one permutation",95.431,5.169
0,"that was which is giving the sorted array.
So, this will be the output of any sorting",100.6,8.189
0,"algorithm. So, this is in ascending order.
So, now, for example, if we have say input",108.789,8.01
0,like this.,116.799,4.541
0,"So, if we have input say 6 3 2 9 7 10 11 suppose
this is our input. So, we have 1 2 3 4 5 6",121.34,23.42
0,"7 we have 7 you have 7 elements. So, you have
a array of 7 element. So, you have 1 is to",144.76,3.99
0,"7. So, then the after sorting output will
be the sorted one. So, it is basically a permutation",148.75,8.12
0,"on it. So, 2 comma, 3 comma, 6 comma, 7 comma
9.",156.87,10.899
0,"So, we should get this to be a permutation
which is sorted. So, this is the output of",167.769,7.61
0,"this should be the output of any sorting algorithm.
So, we will talk about, we will discuss some",175.379,6.571
0,"sorting algorithm, which we will which by
which we should able to get this output. So,",181.95,8.47
0,"we start with insertion sort. So, we talk
about a sorting algorithm which is called",190.42,16.73
0,"insertion sort. So, this is the name of the
algorithm.",207.15,6.64
0,"Now, what is the input? Input is n numbers.
So, suppose you are taking the number is in",213.79,7.49
0,"array. So, this is the input.",221.28,3.129
0,"So, we have a array of n numbers. So, 1 2.
So, our array is starting from 1 to n, not",224.409,11.17
0,"zero to n minus 1 like in c language, you
are not dealing with any specific language.",235.579,5.711
0,"So, that is why we start our array with 1
to n. So, we have a n numbers and we need",241.29,6.63
0,"to sort this numbers. So, we have to write
how we will do that that description you have",247.92,7.769
0,"write. So, that description either we can
write in English form that do a we do these",255.689,6.731
0,"do this like this English form or we will
write something in a compact way.",262.42,4.93
0,"So, precise form. So, that form is called
pseudo code. So, we will write pseudo code",267.35,6.789
0,"for this. So, what we do. So, we first start
with a J loop, J is starting from 2 to n and",274.139,13.721
